model,mode,embed_model,gpt_model,sections,embeds,accuracy,precision,recall,f1,roc_auc,hold_accuracy,hold_precision,hold_recall,hold_f1,hold_roc_auc,file
rf,inprompt,ember-v1,gpt4,all,all_embeds,0.8194962686567164,0.7803344389165283,0.7850454788657036,0.7718031032637774,0.9201444622792937,0.439564004537406,0.40300553284907425,0.3624618296966003,0.2974093086592069,0.6678683730716994,inprompt_ember-v1_gpt4_embeddings.csv
rf,inprompt,ember-v1,gpt4,all,support,0.7610607675906182,0.8293946932006633,0.7746120920278223,0.7748796147672552,0.8786784376672018,0.4176979078273735,0.3863726567664488,0.30623099779910823,0.3799950065734763,0.6497162089596459,inprompt_ember-v1_gpt4_embeddings.csv
rf,inprompt,ember-v1,gpt4,all,refute,0.7545975479744137,0.7862078496406852,0.7524077046548957,0.6621856607811665,0.8763376136971643,0.27986635296837914,0.32172015054933567,0.29320381878595064,0.2455114070886877,0.5190858397721306,inprompt_ember-v1_gpt4_embeddings.csv
knn,inprompt,ember-v1,gpt4,all,all_embeds,0.6958288912579959,0.7648562741846323,0.7422418405564473,0.7001070090957731,0.8737292669876939,0.29366444366444366,0.27631021607595063,0.29226809872852005,0.33402638874267465,0.6884245670324932,inprompt_ember-v1_gpt4_embeddings.csv
knn,inprompt,ember-v1,gpt4,all,support,0.5964818763326226,0.7154505251520176,0.7567549491706795,0.7007758159443551,0.8735955056179775,0.20646718146718146,0.22999931796955358,0.27405060170291884,0.3325099882213752,0.5873388338386202,inprompt_ember-v1_gpt4_embeddings.csv
knn,inprompt,ember-v1,gpt4,all,refute,0.7121535181236675,0.7551133222775014,0.7225120385232744,0.6851257356875333,0.8760032102728731,0.33700220628792055,0.2243327198391829,0.24836567495576528,0.32054718330725224,0.70075717043612,inprompt_ember-v1_gpt4_embeddings.csv
logistic,rag,ember-v1,gpt4,all,all_embeds,0.830090618336887,0.7757048092868989,0.6883360085607277,0.7451845906902087,0.8247726056714821,0.46173905435748713,0.2922540692916056,0.2706216585527619,0.4127469449122405,0.5275295451202984,rag_ember-v1_gpt4_embeddings.csv
logistic,rag,ember-v1,gpt4,all,support,0.8315565031982942,0.7195964621337756,0.6338951310861424,0.722980203317282,0.8417602996254682,0.38843035548013405,0.24884923076875898,0.22882376732530785,0.34225615784308233,0.46231509590847125,rag_ember-v1_gpt4_embeddings.csv
logistic,rag,ember-v1,gpt4,all,refute,0.7971748400852878,0.7905610834715312,0.7055912252541465,0.7411717495987158,0.8269796682718031,0.21322423784206193,0.2921052360122369,0.2555631638195907,0.41947527085322367,0.42418984899801865,rag_ember-v1_gpt4_embeddings.csv
rf,rag,ember-v1,gpt4,all,all_embeds,0.8370202558635395,0.7259535655058043,0.6715489566613162,0.7898608881754949,0.7978196896736223,0.5096007513723919,0.32480486727426633,0.25513188993591557,0.3415426844995734,0.4803745441235626,rag_ember-v1_gpt4_embeddings.csv
rf,rag,ember-v1,gpt4,all,support,0.853211620469083,0.7829601990049752,0.6858614232209739,0.7439138576779026,0.8517255216693419,0.4505854335068285,0.36089095393536486,0.26283181114615994,0.29643022749217146,0.5188528248269401,rag_ember-v1_gpt4_embeddings.csv
rf,rag,ember-v1,gpt4,all,refute,0.7832489339019191,0.6598949695964621,0.6580390583199571,0.6684055644729802,0.7189004815409309,0.22937281981267937,0.1866584293429989,0.17126161380604712,0.1861505370243661,0.2930722211245811,rag_ember-v1_gpt4_embeddings.csv
knn,rag,ember-v1,gpt4,all,all_embeds,0.6089418976545842,0.5466417910447761,0.7529427501337613,0.6974317817014446,0.7972177635098983,0.19668999356499356,0.11088066568292558,0.25403843034388895,0.3536248748113155,0.5190207917367315,rag_ember-v1_gpt4_embeddings.csv
knn,rag,ember-v1,gpt4,all,support,0.6369936034115139,0.6940989496959648,0.671147672552167,0.7574906367041199,0.884095773140717,0.2021762021762022,0.1706438162488616,0.21217149240950178,0.3702553029429543,0.624055729418613,rag_ember-v1_gpt4_embeddings.csv
knn,rag,ember-v1,gpt4,all,refute,0.5724946695095949,0.5812603648424544,0.7766185125735686,0.6471375066880685,0.7502006420545746,0.14147821290678433,0.12107452010440414,0.3271225912872402,0.25068578260330754,0.3508901865831078,rag_ember-v1_gpt4_embeddings.csv
